id,name,localId,rarity,supertype,cm_updated,cm_unit,cm_idProduct,cm_avg,cm_low,cm_trend,cm_avg1,cm_avg7,cm_avg30,cm_avg_holo,cm_low_holo,cm_trend_holo,cm_avg1_holo,cm_avg7_holo,cm_avg30_holo,tp_updated,tp_unit,tp_reverse_holofoil_productId,tp_reverse_holofoil_lowPrice,tp_reverse_holofoil_midPrice,tp_reverse_holofoil_highPrice,tp_reverse_holofoil_marketPrice,tp_reverse_holofoil_directLowPrice,tp_normal_productId,tp_normal_lowPrice,tp_normal_midPrice,tp_normal_highPrice,tp_normal_marketPrice,tp_normal_directLowPrice,tp_holofoil_productId,tp_holofoil_lowPrice,tp_holofoil_midPrice,tp_holofoil_highPrice,tp_holofoil_marketPrice,tp_holofoil_directLowPrice
me04-001,Weedle,001,Common,,2026-07-19T08:03:04.658Z,EUR,886393,0.05,0.02,0.04,0.02,0.04,0.04,0.11,0.02,0.07,0.07,0.08,0.1,2026-07-19T08:03:02.364Z,USD,693561.0,0.01,0.25,20.0,0.26,0.24,693561.0,0.01,0.15,100.0,0.13,0.08,,,,,,
me04-002,Kakuna,002,Common,,2026-07-19T08:03:04.658Z,EUR,886394,0.06,0.02,0.04,0.03,0.04,0.05,0.12,0.02,0.09,0.1,0.12,0.11,2026-07-19T08:03:02.364Z,USD,693502.0,0.03,0.26,100.0,0.24,0.24,693502.0,0.01,0.17,30.0,0.16,0.1,,,,,,
me04-003,Beedrill ex,003,Double rare,,2026-07-19T08:03:04.658Z,EUR,886395,1.17,0.2,0.7,0.71,0.82,1.01,,,0.0,,,,2026-07-19T08:03:02.364Z,USD,,,,,,,,,,,,,693453.0,0.1,0.92,4321.0,0.55,
me04-004,Carnivine,004,Common,,2026-07-19T08:03:04.558Z,EUR,886396,0.03,0.02,0.03,0.02,0.03,0.02,0.06,0.02,0.09,0.09,0.08,0.06,2026-07-19T08:03:02.364Z,USD,693459.0,0.01,0.22,6.99,0.22,0.1,693459.0,0.01,0.13,100.0,0.11,0.01,,,,,,
me04-005,Chespin,005,Common,,2026-07-19T08:03:04.558Z,EUR,886397,0.03,0.02,0.02,0.03,0.02,0.03,0.07,0.02,0.08,0.06,0.07,0.07,2026-07-19T08:03:02.364Z,USD,693461.0,0.01,0.23,11.1,0.22,0.1,693461.0,0.01,0.15,11.01,0.12,0.01,,,,,,
me04-006,Quilladin,006,Common,,2026-07-19T08:03:04.558Z,EUR,886398,0.03,0.02,0.03,0.02,0.03,0.03,0.08,0.02,0.1,0.11,0.09,0.08,2026-07-19T08:03:02.364Z,USD,693537.0,0.02,0.25,100.0,0.26,0.24,693537.0,0.01,0.17,100.0,0.16,0.01,,,,,,
me04-007,Chesnaught,007,Rare,,2026-07-19T08:03:04.558Z,EUR,886399,0.05,0.02,0.06,0.05,0.05,0.05,0.09,0.02,0.12,0.08,0.1,0.09,2026-07-19T08:03:02.364Z,USD,693460.0,0.01,0.25,6.99,0.22,0.22,,,,,,,693460.0,0.01,0.2,25.0,0.2,0.1
me04-008,Vulpix,008,Common,,2026-07-19T08:03:04.558Z,EUR,886400,0.03,0.02,0.03,0.02,0.03,0.03,0.09,0.02,0.09,0.08,0.1,0.09,2026-07-19T08:03:02.364Z,USD,693558.0,0.01,0.25,6.99,0.25,0.2,693558.0,0.01,0.15,100.0,0.12,0.01,,,,,,
me04-009,Ninetales,009,Uncommon,,2026-07-19T08:03:04.558Z,EUR,886401,0.03,0.02,0.03,0.02,0.02,0.03,0.09,0.02,0.09,0.08,0.1,0.09,2026-07-19T08:03:02.364Z,USD,693526.0,0.01,0.26,100.0,0.28,0.28,693526.0,0.01,0.15,100.0,0.14,0.01,,,,,,
me04-010,Ho-Oh,010,Rare,,2026-07-19T08:03:04.558Z,EUR,886402,0.05,0.02,0.06,0.03,0.06,0.05,0.1,0.02,0.13,0.1,0.15,0.11,2026-07-19T08:03:02.364Z,USD,693500.0,0.01,0.26,6.99,0.3,0.25,,,,,,,693500.0,0.01,0.2,11.1,0.16,0.1
